PEID	ROP3	geonameid
9129	104746	1904615
9130	107361	1653333
9134	104970	1656538
9138	104890	8238752
9139	105643	1904618
9140	105682	1657818
9145	114183	8238752
9152	107292	1656538
9157	107591	1652077
9159	107716	1904615
9160	107730	1653333
9164	108016	1656538
9172	108502	1656538
9174	108706	1904615
9175	109001	1654491
9176	109364	1653315
9179	109433	1665045
9181	111244	8238752
9191	111101	1656538
9196	100800	1682671
9198	104836	1733038
9199	100841	1733038
9202	101023	1733039
9203	101040	1733038
9204	101131	1733044
9208	101213	1733038
9210	115051	1733038
9211	101411	1733038
9212	101472	1733038
9217	102927	1733037
9221	101715	1733038
9222	110855	1733039
9226	101951	1733039
9227	102082	1733042
9243	102737	1733049
9244	102765	1733039
9252	103945	1682671
9254	104149	1733042
9255	104150	1733041
9258	104447	1733039
9259	104450	1733038
9260	116936	1733039
9261	104590	1733038
9262	104776	1733038
9265	105007	1733039
9268	105020	1733041
9269	105029	1733038
9270	105061	1733039
9274	105542	1733039
9275	105570	1733038
9276	105627	1733039
9279	105641	1733041
9280	105648	1733038
9281	105698	1733038
9289	105981	1733038
9290	106021	1733037
9294	107670	1733043
9300	106635	1733038
9304	106729	1733039
9305	106923	1733038
9306	107101	1733038
9307	107459	1733041
9308	107461	1733039
9313	107964	1733039
9319	108174	1733038
9320	108445	1733039
9321	108485	1733038
9324	108720	1733038
9325	103933	1733038
9330	108815	1733039
9331	108818	1733041
9332	108820	1733048
